ID,location,total review,review
38,Syambhunath, 53 reviews,"It is an ancient, religious architecture located behind the Swoyambhu Bhagwan Pau which is 350m behind from it. It is also known as the name of ""Monkey Temple"" which is an attractive place for tourists. …"
39,Syambhunath, 4 reviews,Located at swayambhu chowk. It's also a temple of monkey. From here we can get beautiful view of Kathmandu city.
40,Syambhunath, 24 reviews,A place on the height. You can have stairs or book a car to visit directly on top. Loved to throw the coin for wishes. In the open area of temple you can watch the beautiful valley - Kathmandu. You can buy some memorable items from the side of stairs. They provide items in a reasonable rate.
41,Syambhunath, 231 reviews,"Resting on a hillock 3 km west of Kathmandu, Swayambhu is one of the holiest Buddhist stupas in Nepal. It is said to have evolved spontaneously when the valley was created out of a primordial lake more than 2,000 years ago. This stupa is the oldest of its kind in Nepal and has numerous shrines and monasteries on its premises."
42,Syambhunath, 46 reviews,From main road you can walk for the entrance which is approx 15-20 min walk. During this walk view is very nice but be careful from monkey. To visit the stupa you have to climb up to 100 steps. View from top is lovely. It's a world heritage site. Must visit place in Kathmandu.
43,Syambhunath,2 reviews,"Swayambhu (Devanagari: स्वयम्भू स्तूप; Nepal Bhasa: स्वयंभू; sometimes Swayambu or Swoyambhu) is an ancient religious architecture atop a hill in the Kathmandu Valley, west of Kathmandu city. The Tibetan name for the site means ‘Sublime …"
44,Syambhunath, 36 reviews,"It is the most sacred amoung Buddhist pilgrimage sites.Its extremely amazing and beautiful from both religious and aesthetic point of view.
Must visit once !"
45,Syambhunath, 23 reviews,It is a peaceful place to be. You will get to see alot of your monkey friends there. You can see a beautiful view - view of concrete Jungle from the top. Couple of good food places in the perimeter as well. If you're stressed out i recommend you to visit swayambhu.
46,Syambhunath, 79 reviews,Best place to Enjoy Beautiful Art stunning view. You can feel the Spiritual Energy flowing everywhere. …
47,Syambhunath, 230 reviews,"My friend and I decided to stay for one night but ended up staying for Four nites here. Place was very clean and staff were warm,extremely helpful,simple ,friendly.Rishi,the owner was very helpful with his maps ,guides n his hot cinnamon …"
48,Syambhunath, 32 reviews,"This #stupa is the oldest of its kind in Nepal and has numerous shrines and monasteries on its premises. #Swayambhu literally means ""self-existent one"". Believed to date back to 460 A.D., it was built by King Manadeva and by the 13th …"
49,Syambhunath, 21 reviews,"Religious place  🙏🙏
Awesome view of Kathmandu valley 👌👌
Best place to visit to see our historical temlple …"
50,Syambhunath,12 reviews,"Perched on top of the Semgu Hill located in the outskirts to the west of the Kathmandu Valley, Swayambhu Temple temple is one of the most important eligious shrines in the city of Kathmandu."
51,Syambhunath, 80 reviews,Beautiful experience. Amazing stupa a top a hillock. You can get an amazing view of the city.
52,Syambhunath,110 reviews,Ancient temple famous for its artifacts and history. Monkeys are roaming everywhere and one has to be careful with your belongings especially food stuff. They just grab at lightning speed. He just stole my Cornetto ice cream.
53,Syambhunath, 83 reviews,Amazing and mesmerising. Just not enough words to express its beauty. One of the best part visiting this place is that you got a good view of Kathmandu valley.
54,Syambhunath, 47 reviews,"Swayambhu (Devanagari: स्वयम्भू स्तूप; Newar: स्वयंभू; sometimes Swayambu or Swoyambhu) is an ancient religious complex atop a hill in the Kathmandu Valley, west of Kathmandu city. The Tibetan name for the site means 'Sublime Trees' …"
55,Syambhunath, 13 reviews,"Swayambhu is an ancient religious complex atop a hill in the Kathmandu Valley, west of Kathmandu city. The Tibetan name for the site means 'Sublime Trees', for the many varieties of trees found on the hill. However, Shing.kun may be of the local Nepal Bhasa name for the complex, Swayambhu, meaning 'self-sprung'."
56,Syambhunath, 65 reviews,I often visit here just for morning walk and every day I feel the same energy and peace in my mind and soul while climbing those stairs. One of the holiest place of Buddhists and also for Hindus. There is iconic stupa and many other small …
57,Syambhunath,12 reviews,"The Swayambhunath Stupa, an icon of Nepal, is an ancient religious structure on a hilltop in the Kathmandu Valley.  It stands about 3 kilometers west of Kathmandu City and is a must-see for anyone thinking of going to Nepal.  This has to be …"
58,Syambhunath, 44 reviews,Wonderful walk if you start from the pilgrim path on the left of the 365 steps. Takes you all around and up from the back. You can then go down on steps and towards monkey temple 🐒
59,Syambhunath, 10 reviews,"What more can we say about this spiritual grandeur! Stupa! स्वयं-भू-नाथ, The name speaks itself. The place where you can experience your inner divinity."
60,Syambhunath, 80 reviews,Temple of the monkeys is so famous and a must visit for all tourists as we can get a beautiful view of Kathmandu Valley. But so sorry to say that the place is so dirty with trash thrown everywhere. The local government must immediately do …
61,Syambhunath, 18 reviews,"Great historical place to visit. Lies in the heart of the Kathmandu city. Easy access.
Enjoyable view of kathmandu valley. But regular cleaning of the area must be focused."
62,Syambhunath, 11 reviews,"One of the best Buddhist place in the world, not only for Buddhist it's for all the people who love art  , architecture, history, culture, traditions and many more..........."
63,Syambhunath, 26 reviews,"One of the bust place i visited in Kathmandu before living Kathmandu and aslo enjoy the vibe of peace lovely place, The Swayambhu Mahachaitya was gold plated (20 kg gold) in 2011. The hill suggests fabulous views of Kathmandu valley, …"
64,Syambhunath, 142 reviews,"Peace Place and Great View point ❤🙏🏻
Kathmandu valley  seen from there easily 🥰"
65,Syambhunath, 19 reviews,"Swayambhu (Devanagari: स्वयम्भू स्तूप; Newar: स्वयंभू; sometimes Swayambu or Swoyambhu) is an ancient religious complex atop a hill in the Kathmandu Valley, west of Kathmandu city. The Tibetan name for the site means 'Sublime Trees' (Wylie: …"
66,Syambhunath, 60 reviews,The architecture is beautiful and you can cover the whole place wothin half an hour. Beware of the pickpocketing monkeys though.
67,Syambhunath, 74 reviews,"A stupa of Fantastic architecture, known for huge presennce of monkey, a view point to enjoy the beautiful Kathmandu valley, you will never get tired of visiting again and again. Perfect location inside valley for a day out.. or to spend some time .."
68,Syambhunath, 27 reviews,It is wonderful and great palace.it is very old temple and very famous in nepal.many of the people of various countries come for visit this place
69,Syambhunath, 54 reviews,Very nice place for the people who are visiting Nepal Kathmandu. It's an iconic place to visit.
70,Syambhunath, 7 reviews,"One of the iconic places in Kathmandu or informally named as the Monkey Temple, a fun exciting day out with great views from the top. It's not free you have to pay currently 400 NRP.."
71,Syambhunath, 51 reviews,Almost 3000 stairs need to be crossed I order to reach the Swyambunath temple. Swyambunath temple is the name that the local use but it is known as Money temple to many tourist and foreigners. The locals doesn’t have any idea about monkey …
72,Syambhunath, 19 reviews,"Wow, amazing place, always something different happening there.
Lots and lots of monkeys and lots of very steep steps.
Magical place"
73,Syambhunath, 9 reviews,"The Swayambhunath Stupa is one of the delegated wonders of Kathmandu Valley engineering. This impeccably proportioned landmark ascends  through a whitewashed vault to an overlaid tower, from where four famous countenances of the Buddha gaze …"
74,Syambhunath, 33 reviews,"One of the best places to be around.
The place is peaceful, enthusiastic and so much more.
The air also feels nice. The view is amazing but since Kathmandu is polluted a …"
75,Syambhunath, 60 reviews,"The Great Chaitya of Bodhnath
Also called: Bauddha, Byarung Kashor, Khasa, Khasti, Khasau or Kashyapa Chaitya. …"
76,Syambhunath, 3 reviews,"An extremely amazing place to be at presenting an amazing picturesque scenerio of the city, extremely beautiful pieces of art, and a different sorts of freshness. Fully enjoyed being here!! ❤️"
77,Syambhunath, 89 reviews,"The history of this beautiful temple is dated back to 5th century making it one of the oldest temple in Kathmandu. It was founded by King Manadava. Also,  it is said that the great Ashoka came to this place in 3rd century and built a temple …"
78,Syambhunath,4 reviews,We enjoyed this temple of Goddess Buddha here very much. But the maintenance of this place is not so good.
79,Syambhunath, 80 reviews,Best place to see the city for locals and tourists. Early morning or evening can be preferable
80,Syambhunath, 116 reviews,"let me visit next time and if i can remove the review and the pictures.
Hello UNESCO where are u ? u know my fellow Nepalese how good they are at earning money. Please do something. they are turining this into garbage hill. Please save it"
81,Syambhunath, 87 reviews,Absolutely nice place to visit with many monkeys (that like to steal your lemonade) and a gorgeous view of the city
82,Syambhunath, 56 reviews,A whole day can be spent wisely in this place also called as monkey temple.
83,Syambhunath, 92 reviews,The Buddhist temple called monkey temple too. It's a too good place for mind relaxing.
84,Syambhunath, 73 reviews,You can get a nice and beautiful view of the city. Stupas and temple are beautiful and worth it to visit.
85,Syambhunath,7 reviews,"Like a different world it feels, always heard about Kathmandu in stories since childhood and seeing it in reality was magical."
86,Syambhunath, 122 reviews,"💜❤️❣️😘 loving place
Find peace and prayers on the little hillock of Swaymbhunath in the northwest of Kathmandu Valley. Visitors for whom the name was a tongue twister have called …"
87,Syambhunath, 195 reviews,Aptly named the monkey temple! Plenty of those little critters around. Awesome Stupa!
88,Syambhunath, 29 reviews,"Visited quite few years ago, and it's very good place although and should visit there if you are in kathmandu"
89,Syambhunath, 95 reviews,"Swayambhunath is on a top of a hill which overlooks Kathmandu valley.

There is an entrance fee of NRP 50 for SAARC countries and NPR 200 for outside …"
90,Syambhunath, 77 reviews,"Hindu religious temple. It is situated at the top of a mountain. You can see entire Kathmandu here. Monkeys are adorable. Must visit once in your life.
Really love this best place. …"
91,Syambhunath, 55 reviews,"sometimes Swayambu or Swoyambhu) is an ancient religious complex atop a hill in the Kathmandu Valley, west of Kathmandu city. The Tibetan name for the site means 'Sublime Trees  for the many varieties of trees found on the hill. However, …"
92,Syambhunath, 17 reviews,"Good place to visit, this place is at height and there stairs to go up, if you are going there with Kids then better to use side ways to go up (slopy way) as stairs are quite risky for children. …"
93,Syambhunath, 783 reviews,Swambhunath Stupa is regarded as one the Buddhist shrines whic is equally worshipped by Hindus as well. It is situated at the western side of the main Kathmandu valley. Often known as monkey temple the mythology says that the lotus on the …
94,Syambhunath, 31 reviews,"A golden spire crowning a conical wooded hill, Swayambhunath Stupa is the most ancient and enigmatic of all the holy shrines in Kathmandu valley. Its lofty white dome and glittering golden spire are visible for many miles and from all sides …"
95,Syambhunath, 40 reviews,"Best place to chill, hangout, watch the view of Kathmandu Valley and worship."
96,Syambhunath, 31 reviews,"It is one of the hindu temple which is located in Kathmandu, Nepal. It was so peaceful place. Actually we see valley clearly from the top of the temple. Lots of 🐒 are jumping there and they act like silly through which the people are getting entertain."
97,Syambhunath, 83 reviews,It’s a must visit temple in Kathmandu nepal
98,Syambhunath, 29 reviews,Swayambhu temple is also knwn as monkey temple there u can see lots n lots of monkeys lofty white dome and glittering golden spire are visible for many miles. From stupa yu all can see kathamandu city and its also known as World Heritage site. If u visit nepal don't forget to visit this place
99,Syambhunath, 28 reviews,2nd I come visit in Sawayumphu with my friend for a prayer so very good place when you come to Nepal ..pls bit Sawayumphu
100,Syambhunath, 64 reviews,"Swayambhunath Stupa is also know as Monkey Temple because there is a lot of monkey. This stupa is at mountain , There is stairs to reach at temple.
Literally, you can see the view of Kathmandu."
101,Syambhunath,10 reviews,Swayambhunath Stupa also known as Kathmandu’s Monkey Temple.
102,Syambhunath, 106 reviews,"A Huge divine complex , important centre in Buddhism.Word swayambhunath literally mean self existent one,which is a name of lord Shiva , it was believed to back date to 460 CE. Wisdom seeker can visit here.View of kathmandu city ,from here is breathe taking ."
103,Syambhunath, 76 reviews,"Beautiful, historic, vintage point, religious, scenic.....just go and see."
104,Syambhunath, 34 reviews,It was a bit overwhelming for me and despite going against my better judgement a ‘guide’ there tried to scam me. So many people were calling at you to buy things and there were lots of beggars. I am also scared of monkeys 🙈 I understand …
105,Syambhunath, 15 reviews,"Always a refreshing experience , hope they restructure some of the buildings that take away from the heritage and significance of the site."
106,Syambhunath, 192 reviews,"Hindu and Buddhist temple at single station.
We can see clear view of kathmandu valley from here."
107,Syambhunath,13 reviews,View of Kathmandu from here is worth climbing 1000 stairs. Try to visit this place in early sunset hours.
108,Syambhunath, 55 reviews,Buddhist holy place . The most people love this place to hang out and view Kathmandu panorama view 200 degree
109,Syambhunath, 76 reviews,Great location with beat view of kathmandu valley. You can enjoy nature monkeys and the view.
110,Syambhunath, 165 reviews,"wonderful temple with amazing view of Kathmandu city .
There was a lots of monkeys around the temple ."
111,Syambhunath, 20 reviews,Beautiful religious place with great atmosphere. You can see the whole city from up there. I do recommend visiting for foreigners coming for the first time. Beware of the monkeys and get ready to have your cameras out. There are a ton of …
112,Syambhunath, 30 reviews,Swayambhu or the monkey temple is among the oldest religious sites in Nepal.
113,Syambhunath, 11 reviews,Ancient stupa deating back more than 2000 years situated on the top of padmagiri mountain in walkable disance from downtown. There are several ways to climb the mountain to the stupa. But the stairway is most famous and scenic one with 365 …
114,Syambhunath, 82 reviews,"Beautiful place, great atmosphere and monkeys are a plus to the place."
115,Syambhunath, 14 reviews,It is one of the world heritage site of the world.It is also known as Monkey Temple.
116,Syambhunath, 24 reviews,this the syambhunath which is famous for monkey temple. its main stream of boudha. its world heritage site. do not miss visit it.thank you
117,Syambhunath,4 reviews,It is a great place to seek spiritual power the sense of peace is present in that place. I really go there in morning for a runs and you see people praying and that is really good for your mental health too. So great place surely recommended to go there.
118,Syambhunath,1 review,The place is beautiful. I've been going there for quite a while it's all jungle and at the top a temple if we decide to reach the top from back of the mountain it's very peaceful and mind blowing but there might be too many monkeys
119,Syambhunath, 41 reviews,Chill area but aware of monkey we can see whole Kathmandu from here
120,Syambhunath, 52 reviews,Buddhist temple is awesome and nice to see the temple . Very peaceful place
121,Syambhunath, 639 reviews,"Amazing place. You must visit it, when you are in Kathmandu."
122,Syambhunath, 62 reviews,Loved this place. Beautiful destinationwith lots of monkeys and dogs
123,Syambhunath, 7 reviews,Best place to spend time and view of Kathmandu ❤️
124,Syambhunath, 73 reviews,"Bustling with activity… great views, reasonable rates for tourists to shop"
125,Syambhunath, 29 reviews,Historical places of Nepal. Every one must visit at least once to get life time memory
126,Syambhunath, 82 reviews,"It is a unique world heritage, it is mythical, grandeur, and the most significant landmark in the entire Kathmandu valley. Photo and video taken from Buddha Purnima/Jayanti 16 May2022. A visit for understanding and experiencing  the …"
127,Syambhunath, 26 reviews,Self existed godly entity and Buddhist landmark has pristine beauty of surrounding valley. Panorama view of Kathmandu valley and surrounding mountains from Western corner of Kathmandu is breathtaking. Centuries old art culture and …
128,Syambhunath, 376 reviews,Serene environment. Blissful place.. Darshan arrangements good
129,Syambhunath, 128 reviews,"Swayambhu Stupa also known by the name of ""The Monkey Temple"" is one of the most worshipped place in Nepal and one of my favourite place to be. The main entrance to the stupa has 365 steps but all worth it as the city view from the top is …"
130,Syambhunath, 14 reviews,It is a famous holy place of Nepal where a lot of tourists come to visit yearly. It is famous for Lord Buddha stup.
131,Syambhunath, 46 reviews,"A citadel of Hindu-Buddhist fusion, resting atop a hill, the complex presents an apt picture of an ancient era with a sense of absolute serenity."
132,Syambhunath, 74 reviews,"Swayambhunath Stupa, also known as “Monkey Temple” is located on the hilltop in the Northwest of Kathmandu Valley. It is a peaceful place where the beautiful panoramic view of the Kathmandu city can be observed. It is said that the glory of …"
133,Syambhunath, 29 reviews,An ancient religious stupa on top of the hill. One of the best places to see 3/4 of Kathmandu valley from the height. This  place which gives peace and calmness. It is also know as “monkey temple” among foreigners as monkeys can be found in and around the stupa. A must visit place in Kathmandu valley.
134,Syambhunath,5 reviews,The swayambhunath is very peaceful and good. You can relax here and view Kathmandu from above.
135,Syambhunath,14 reviews,"An interesting place mostly because we meet there a lot of Tibetan people. There is even a Tibetan clinic.
But of course, this place is more like a pilgrimage for Buddhist people. …"
136,Syambhunath, 4 reviews,Good place to visit. Nice view of ktm from top of the Swayambhu.
137,Syambhunath, 32 reviews,Must visit place in Kathmandu. You get a beautiful view of the whole city at the top. The temples and statues are also beautiful.
138,Syambhunath, 28 reviews,"Swayambhunath is among the oldest religious sites in Nepal. According to the Gopālarājavaṃśāvalī, it was founded by the great-grandfather of King Mānadeva (464-505 CE), King Vṛsadeva, about the beginning of the 5th century CE. This seems to …"
139,Syambhunath, 17 reviews,"Swayambhunath the oldest religious sites in Nepal, founded about the beginning of the 5th century CE. Also known as the Monkey Temple."
140,Syambhunath, 74 reviews,"We went there after the lockdown, in July 2021. It was really refreshing up there. One of the best places, inside Kathmandu Valley, to visit during the weekends."
141,Syambhunath, 12 reviews,"Peace environment excellent view of Kathmandu valley, heaven on earth especial after 8 pm✌️✌️"
142,Syambhunath, 3 reviews,"The climb may be tough, but the view from the top is  better.I got lost in the view."
143,Syambhunath, 144 reviews,good location very beautiful in nepal
144,Syambhunath, 303 reviews,A must visit UNESCO Site that has a commanding view of Kathmandu.
145,Syambhunath, 21 reviews,Amazing place to visit for the beautiful scenario of Kathmandu valley.
146,Syambhunath, 10 reviews,Great historical place to visit.
147,Syambhunath, 15 reviews,"I really love this place ,The view is missmarising ,A positive vibration is there.Amazing lord Buddha temple."
148,Syambhunath, 30 reviews,Mind-blowing place with amazing view of Kathmandu
149,Syambhunath,14 reviews,"very beautiful and exciting place , u will feel so much peace and Greenery. The world peace pond is so much good and fun to play and so much energy u need to climb the stairs up to the top . Some products have really high price but it's okay to visit and smany many selfie points and background to take pictures."
150,Syambhunath, 9 reviews,Really Beautiful Place. Really enjoyed the beautiful view of Kathmandu Cityscape
151,Syambhunath, 8 reviews,It is an ancient Stupa. It lies on a small hill top on west side of Kathmandu valley. It is  a UNESCO world heritage site. It is one of the most popular places of Kathmandu valley.
152,Syambhunath, 39 reviews,"If you wanna take pictures there then I   will suggest you to go there in the morning or in the evening not in mid day .
Over all good place to visit in Kathmandu . …"
153,Syambhunath, 23 reviews,"Swayambhu is an ancient religious complex atop a hill in the Kathmandu Valley, west of Kathmandu city. The Tibetan name for the site means 'Sublime Trees' for the many varieties of trees found on the hill. …"
154,Syambhunath,8 reviews,"Best to go either early in the morning, or in the evening. Especially during the summer. The view and the peaceful environment makes it worth the climb.
P. S. You migh wanna complain about the smell coming from everywhere there. But it can't be helped. It is a home to 🐒🐒"
155,Syambhunath, 231 reviews,Divine. Do visit when in Nepal
156,Syambhunath, 116 reviews,"With a visit, but go when the temperature is not too hot as the stairs are an effort."
157,Syambhunath, 27 reviews,If you're in Kathmandu then go here for both the views and the temple. And the monkeys! Entrance fee for foreigners but it's very reasonable in price
158,Syambhunath, 68 reviews,It is situated on hill and a nice tourist place
159,Syambhunath, 80 reviews,"Must visit when u r in Kathmandu. Been visiting since childhood, Love this place."
160,Syambhunath, 212 reviews,"Known as Swayambhu Nath in kathmandu...
Others know as monkey temple...
Represents the lotus like place before the creation of Kathmandu city... …"
161,Syambhunath, 32 reviews,Just wow and lovely peaceful place.
162,Syambhunath,9 reviews,"It's where the history of Kathmandu valley, city of gods began. Must visit place of valley.
Most suitable time to visit, early in the morning."
163,Syambhunath, 36 reviews,"What a beautiful place in Nepal. Fresh air, beauty scenery, and a lot of monkey. To go up to the tower, visitors need to climp about 200 ladders. At the top, people can observe Kathmandu valley fully. Moreover, many people come here to pray and seek peacefulness"
164,Syambhunath, 225 reviews,"Swayambhu is not only famous among the local people as a religious site, but also as a great place to hang out. On a bright sunny day, beautiful views of the valley can be observed from the hill top. I'd recommend you to go for a walk on …"
165,Syambhunath, 58 reviews,Located in the height so the beautiful view of Kathmandu valley could be seen from here.. A different vibe could be found here.. The night view is also awesome.. The most important thing is that you won't have to regret by coming here.
166,Syambhunath, 27 reviews,Really I wanna say that I forgot everything bad that used to annoy me when the fresh and cool environment touches my body . You do not ignore to come over here anytime any day. you can enjoy the best view of Kathmandu.
167,Syambhunath, 34 reviews,cost about 300 for foreigners but well worth it! We walked from Thamel for fun and then spent 3 hours walking around the temple and the lower grounds exploring and sightseeing.
168,Syambhunath, 878 reviews,"It’s Saturday morning; my alarm goes off at 6am. Today, after my morning chores, I’m visiting the world-famous Swayambhunath Stupa Kathmandu. And even though I’ve been many times, I’m just as excited as the first visit. We call it …"
169,Syambhunath, 163 reviews,Located on top of a hill Swayambhu offers scenic views of the city and is a garden. Also known as the monkey temple it's the epi center of Buddhism and Buddhist in kathmandu. A small trek from any part of kathmandu it's located at 4613 …
170,Syambhunath, 123 reviews,"A lovely place on top of the hill, from where one can get beautiful views of the Kathmandu city
A UNESCO world heritage site. …"
171,Syambhunath,2 reviews,Its a holy place and it represents the peace of nepal
172,Syambhunath, 71 reviews,"A very revered place and in addition to the Temples and Stupa,the view of the three districts of Kathmandu is breathtaking. Worth visiting."
173,Syambhunath, 215 reviews,"Swayambhunath Stupa is an ancient religious complex atop a hill in the Kathmandu Valley, west of Kathmandu city. The stupa has Buddha's eyes and eyebrows painted on. Between them, the number one (in Devanagari script) is painted in the …"
174,Syambhunath, 110 reviews,Swayambhu is a great place to hang out with someone you love the most.. Don't go here in the morning coz this place is too crowded with people exercising.. If u are here with your loved one u can't express yourself in this crowd unless u don't care at all..
175,Syambhunath, 72 reviews,"Fantastic Buddhist monastery, t'he premises are inhabited by monkeys that wander around and the architecture i worth visiting it. Bé prepare to climb hundreds or stairs steps, you are warned."
176,Syambhunath, 5 reviews,Be careful not to tease the monkeys 😉and brace yourself to walk a little stairs 😄
177,Syambhunath,9 reviews,"Holy place to both Hindus and Buddhist at the top of a small mountain, it is filled with art and religious spirit. Moreover, you can view the entire Kathmandu valley if the weather is clear."
178,Syambhunath, 34 reviews,"Find peace and prayers on the little hillock of Swaymbhunath in the northwest of Kathmandu Valley. Visitors for whom the name was a tongue twister have called it ""Monkey Temple"" from the 1970s. Swayambhu, overlooks most parts of the valley …"
179,Syambhunath, 14 reviews,"Its a very Good place.
If you did not visit it, its a very huge loss in your life.
Swayambhunath stupa is known as monkey temple."
180,Syambhunath, 141 reviews,It's really pretty place. I really enjoyed. The people over there are too amazing. You just have to pay 50 rupees to enter in as local and if foreigner then 200 rupees. Rest it is little unhygienic which needs to be cleaned well.
181,Syambhunath, 32 reviews,Large area with many pious points and an awesome bird's eye view of Kathmandu City..Got a good market of souvenirs as well..
182,Syambhunath, 35 reviews,"From the Swayambhunath stupa, you will have an amazing view of Kathmandu and the valley.
It’s now one of the most sacred pilgrimage sites for Buddhists and a must-see …"
